sld,label,family
dwyiokjrwouowyvybcf,1,ramnit
suddenmethod,1,suppobox_1
actiontrain,1,pizd
9qng1ub8tef4,1,qadars
hpqfgbbcdfgt,1,tinba
rpqoraqirub,1,necurs
wantingtheirittoofthe,1,rovnix
read-demonslayer,0,benign
lord-films,0,benign
ceryouthroughwithout,1,gozi_gpl
ofhehascivilizedweand,1,rovnix
jsla-23s-da2e-ja1,0,benign
sgboutique,0,benign
efrklgfauqwema,1,cryptolocker
adventive,0,benign
apbba,0,benign
youthecalicense,1,gozi_gpl
cd2foxu3ox6r,1,qadars
efarynpkusweyh,1,cryptolocker
principlesdespotismfree,1,rovnix
miqvourlsbed,1,tinba
finishtogether,1,suppobox_1
mgaperionirkutskagl,1,banjori
ridgaygfrsyhclvwee,1,ramnit
equalagestonameexample,1,rovnix
markedofthelifelawsour,1,rovnix
pwarbbthtxfgdww,1,cryptolocker
toindependentarmsoftimes,1,rovnix
hpkniyywsccg,1,tinba
xijjohxhmpoy,1,tinba
toothwonder-dress,1,matsnu
whetherbasket,1,suppobox_1
anyworkthedistinguishing,1,gozi_gpl
ckwtcjkrsaciao,1,cryptolocker
ce8mkmcq4u4e,1,qadars
qhdkktlg,1,ramnit
sudosemitismgavenuteq,1,banjori
asgperionirkutskagl,1,banjori
d2f0lev812z0,1,qadars
srtadobxfavo,1,cryptolocker
pxgtyfhiipda,1,cryptolocker
smarkets,0,benign
angryhusband,1,pizd
memberhowever,1,suppobox_1
thtelljrskrv,1,tinba
friedrich23,0,benign
resultcharge,1,suppobox_1
mightsquare,1,suppobox_1
qmwqsemitismgavenuteq,1,banjori
rnerekutstgpn,1,cryptolocker
agrgcvfpfxitfygykwgh,1,necurs
commfort,0,benign
definition-send,1,matsnu
bnhtpxokllvv,1,tinba
chrcqylnhxercpvdvsnwh,1,necurs
theholdandaofattenddestructive,1,rovnix
ycassemitismgavenuteq,1,banjori
glkrixxuxamooupqr,1,ramnit
islamic-relief,0,benign
acegqoxswjypsn,1,ramnit
aimylogic,0,benign
ryrmwcjdifbwgdgtkwd,1,ramnit
amountvarious,1,pizd
gradehost-flower,1,matsnu
belongwithin,1,pizd
yebratlcyjvj,1,necurs
beingwindow,1,pizd
ecometer,0,benign
jhtreucdcqwedvqt,1,ramnit
bhunsemitismgavenuteq,1,banjori
warrantythatfreenat,1,gozi_gpl
yvjgwcsbksph,1,tinba
r4t6z4hizsla,1,qadars
buildingstranger,1,pizd
gpdueqgcqv,1,necurs
nscqumtmdk,1,necurs
personservice,1,suppobox_1
jxwpsemitismgavenuteq,1,banjori
ylefyomh,1,ramnit
fjiasfuunaujpb,1,necurs
choice-turn-mirror,1,matsnu
laofsphqfpgdn,1,cryptolocker
rigversionssyssomethe,1,gozi_gpl
customerfeed,0,benign
piecesdix,0,benign
pujvmohrauag,1,cryptolocker
dq74dyjk9yrk,1,qadars
brownpeople,1,pizd
k60yiw,0,benign
aofcoloniesinevitably,1,rovnix
winterbottle,1,suppobox_1
aerjsemitismgavenuteq,1,banjori
ftksfbxq,1,ramnit
captainindustry,1,pizd
tankcomment-celebration,1,matsnu
horizono,0,benign
3ohufcdyr4l6,1,qadars
celebrationexpress,1,matsnu
sweetreport,1,suppobox_1
xwlqqoopgjht,1,tinba
bandclue-attempt,1,matsnu
chiefmatter,1,pizd
pnytsemitismgavenuteq,1,banjori
aglqsemitismgavenuteq,1,banjori
bhixqcyxehim,1,necurs
qmrwsemitismgavenuteq,1,banjori
jointget-garbage,1,matsnu
maythecircumstancesa,1,rovnix
wpjexwoqduenn,1,necurs
kieterionirkutskagl,1,banjori
sgculturepass,0,benign
league-retain,1,matsnu
menchies,0,benign
6jghezwlavgd,1,qadars
theappealedourtoalter,1,rovnix
osbbdnoyxyww,1,tinba
bygovernmentsincapable,1,rovnix
bettershoulder,1,pizd
zolqf0p2f8dq,1,qadars
forgetcomplete,1,suppobox_1
controllanguage,1,pizd
biyjylgxoqjsjvntjepm,1,necurs
x6n8x670hmns,1,qadars
634d2bo1u389,1,qadars
chairescape,1,suppobox_1
effortminute,1,suppobox_1
hokaoneonepostalnationals,0,benign
pfiksemitismgavenuteq,1,banjori
aavkdxjjduxvwea,1,cryptolocker
desireseparate,1,pizd
nocle,0,benign
vaseparablemodify,1,gozi_gpl
ogsbghetk,1,ramnit
8useoicm0282,1,qadars
aroundhowever,1,pizd
aksberionirkutskagl,1,banjori
house-guy-guarantee,1,matsnu
sutsldf,1,necurs
againsttheoption,1,gozi_gpl
vqeghgfqhonn,1,tinba
italyromehotels,0,benign
free4wallpaper,0,benign
hellhorror,0,benign
vercopyaggregateprote,1,gozi_gpl
rpsyqoymgpac,1,cryptolocker
dressquestion,1,pizd
shot-travel-gap,1,matsnu
xutspwnucmwsenohsab,1,necurs
hrojnjukff,1,ramnit
